category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,59/2140,158/8218,0.37341772151898733,1.4339938483378682,3.2683441342098036,0.001055507445885285,0.016696208689458147,0.014443786101588113,CCNB1/CDK1/PLK1/PTTG1/PKMYT1/BUB1/NDC80/CDC25C/CDCA5/CCNB2/CDC20/SGO1/KNL1/TRIP13/CCNA2/BUB1B/AURKB/E2F1/CDC14B/ESPL1/TTK/MAD2L1/CDC6/CDC45/ESCO2/PCNA/ORC6/CCNE2/MCM4/E2F2/CCNE1/CDKN1C/CHEK1/DBF4/CDC25A/ORC1/TICRR/CDT1/CDC7/MCM6/MCM2/CDKN2A/RAD21/E2F5/PPP2R1B/SMC1B/CDKN2D/MTBP/E2F3/CDC25B/FBXO5/ANAPC11/CCND2/CCND1/TGFB3/CDKN2C/GADD45G/CCNA1/CDC14C,59
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,56/2140,152/8218,0.3684210526315789,1.4148057058534187,3.0628137570169227,0.0019967548669503096,0.029768770501423833,0.025752777868745365,IBSP/VEGFD/COMP/TNXB/LIMS2/FN1/ITGA7/FERMT2/RELN/TLN2/COL6A6/PDGFD/FREM1/PARVA/VWF/EGFR/NPNT/MET/COL1A1/PDGFRA/PIK3R1/LAMA4/FLT4/IGF1/LAMC1/ICAM2/ARHGEF6/TNR/SPP1/RAC3/CCND2/ITGA1/DMP1/LAMA3/PDGFA/COL6A5/ITGAL/CCND1/COL1A2/LAMA2/ERBB2/COL9A3/RAC2/LAMA1/THBS2/LAMC2/LAMB3/COL4A3/CHAD/ICAM3/LAMC3/COL9A2/EGF/COL2A1/DSPP/FGB,56
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,28/2140,65/8218,0.4307692307692308,1.654234363767074,3.142060124892749,0.0020530186552706092,0.029768770501423833,0.025752777868745365,HSD17B6/RDH5/ALDH1A2/ADH4/ADH1A/ALDH1A1/ADH1B/RDH16/ADH1C/RETSAT/RPE65/CYP26B1/CYP3A4/CYP1A1/AOX1/UGT2B28/DHRS3/ADH6/ALDH1A3/CYP2A7/CYP2B6/CYP1A2/SDR16C5/CYP2A6/CYP2W1/UGT2A3/UGT2B4/CYP2C8,28
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,39/2140,100/8218,0.39,1.4976728971962616,2.970999980223089,0.0029207669666824606,0.04065707617621985,0.03517218326194459,CPA1/ATP1A2/SCT/SCTR/ADCY4/ATP2A3/ATP1A3/CLCA4/FXYD2/BST1/AMY2B/PLA2G5/PNLIPRP2/PLA2G10/ATP2B4/CPA2/CPB1/ATP1B2/SLC26A3/ATP2A1/ADCY8/SLC4A4/CCKAR/ADCY1/PLA2G2C/ADCY5/PLA2G2D/PRSS1/PLA2G2F/PRSS2/PNLIPRP1/ATP1A4/PRKCG/CLCA1/ATP2B3/CCK/CA2/AMY2A/PLA2G3,39
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,44/2140,116/8218,0.3793103448275862,1.4566226232678052,2.938823352575934,0.0030719611879213562,0.04111701897679354,0.035570076912773606,GRM4/GNAI1/SLC17A7/GNG11/GRM8/KCNJ3/PLA2G4A/GRK3/GRIN2D/GNG13/ADCY4/GRIN2B/GNG2/GRIK1/SHANK3/GNG4/GRIA2/PLA2G4D/GRIA4/SLC1A1/SLC1A3/GNGT1/HOMER3/GRIN2C/SLC1A2/SLC1A7/GRM2/CACNA1D/ADCY8/PLA2G4F/GNG3/GRIK4/ADCY1/GRIA3/ADCY5/GNG8/SLC1A6/GRIN1/GRM7/GRIN3B/PPP3R2/PRKCG/SLC17A8/SLC17A6,44
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,40/2140,104/8218,0.38461538461538464,1.4769949676491734,2.904665640576914,0.0034822334439362918,0.04488211994406776,0.0388272422988608,DMD/ITGA7/SSPN/CACNB3/ADCY4/CAV3/ATP2A3/CACNA2D1/DES/SLC8A2/CACNG5/IGF1/CACNG1/SGCB/ITGA1/NOS1/SGCZ/MYL3/TTN/CACNG4/LAMA2/TGFB3/TNNI3/SGCG/SGCA/CACNA2D2/MYL2/PLN/CACNA1D/LAMA1/ATP2A1/ADCY8/AGT/ADCY1/TPM2/ADCY5/MYH6/SLC8A3/ADRB1/ACTC1,40
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,56/2140,156/8218,0.358974358974359,1.3785286364725617,2.8321928686299405,0.003857455584864739,0.04762445455504954,0.04119961888307371,NLGN1/JAM2/CD34/CLDN5/F11R/CD80/NECTIN2/VSIR/NECTIN3/CLDN11/CNTNAP2/PTPRM/CDH5/TIGIT/PECAM1/SDC1/PDCD1/CLDN6/CLDN9/CADM3/JAM3/ICOS/ICAM2/CLDN19/SELL/VCAN/ESAM/CLDN7/ITGAL/SLITRK6/CD6/CLDN25/SLITRK2/CD22/NTNG1/NCAM1/CLDN14/CTLA4/CD2/CDH2/SELP/HLA-DQB1/CLDN18/HLA-DQA1/NLGN4X/CLDN8/CLDN3/NEGR1/HLA-DOB/NCAM2/ICAM3/HLA-DQA2/NRCAM/SELE/MAG/NRXN1,56
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,35/2140,89/8218,0.39325842696629215,1.5101858657985932,2.871362647928781,0.003985488003179415,0.04762445455504954,0.04119961888307371,GABRD/GABARAPL1/GNAI1/GNG11/GNG13/ADCY4/NSF/GNG2/SLC38A5/CACNA1B/GNG4/KCNJ6/GABRQ/SLC12A5/GABRA4/GABBR2/GABRE/GAD1/GNGT1/GABRA5/GABRG1/CACNA1D/ADCY8/HAP1/ABAT/GNG3/GABRA2/ADCY1/ADCY5/GABRA3/GNG8/SLC6A11/PRKCG/GABRR3/GABRA1,35
Metabolism,Lipid metabolism,hsa00591,Linoleic acid metabolism,15/2140,30/8218,0.5,1.9200934579439253,2.995620786258374,0.004139305149111456,0.04762445455504954,0.04119961888307371,PLA2G4A/CYP3A4/PLA2G4D/PLA2G5/PLA2G10/PLAAT3/PLAAT2/PLA2G4F/CYP1A2/PLA2G2C/PLA2G2D/PLA2G2F/CYP2C19/PLA2G3/CYP2C8,15
Metabolism,Lipid metabolism,hsa00565,Ether lipid metabolism,22/2140,50/8218,0.44,1.6896822429906542,2.9024140279772235,0.0043792601889700725,0.04762445455504954,0.04119961888307371,PAFAH1B3/PLPP3/ENPP2/LPCAT1/PLPP1/PLA2G4A/SELENOI/LPCAT2/PLA2G4D/PLA2G5/PLA2G10/ENPP6/PLAAT3/GDPD1/PLAAT2/PLA2G4F/GAL3ST1/PLA2G2C/PLA2G2D/PLA2G2F/GDPD3/PLA2G3,22
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,22/2140,50/8218,0.44,1.6896822429906542,2.9024140279772235,0.0043792601889700725,0.04762445455504954,0.04119961888307371,COMP/CD36/HBB/HBA2/GYPC/HBA1/PECAM1/MET/CSF3/TLR4/IL6/LRP1/SDC1/ITGAL/ACKR1/TGFB3/IL18/IFNG/SELP/THBS2/CR1L/SELE,22
