ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0055074,calcium ion homeostasis,119/4355,328/17400,0.3628048780487805,1.4495533589090197,4.749087263630555,3.2250390023665733e-6,2.0360526844532642e-4,1.6249901138669815e-4,CAV1/SLC24A2/CCL11/CAV2/CXCL11/TRPA1/SNCA/CEMIP/ATP1A2/TMCO1/KL/DMD/CXCL10/MICU3/PKD2/AKAP6/CXCL9/CCL14/PRKD1/BAK1/BAX/CALR/PTH1R/CXCL12/TRDN/TRPC6/SLC25A27/CIB3/CX3CL1/FGF2/CAV3/ATP2A3/CDH5/ANK2/ATP13A2/HTR2A/S100A14/CDH23/RYR3/CASQ2/EDN2/CAPN3/HCRTR1/JPH2/ELANE/C19orf12/SV2B/CCR7/PTPN6/SLC8A2/RGN/CLIC2/CXCR3/P2RY6/JPH3/CD19/GSTM2/NTSR1/LIME1/F2R/ATP2B4/BOK/TRPM2/CCL21/DRD4/CYP27B1/TNNI3/CORO1A/DMTN/SYPL2/TMEM178A/NT5E/ABCC6/CCL23/HRC/JPH4/CCL7/ASPH/PLCL2/EDN1/CCL13/LCK/LCN6/PLN/CHRNA7/ATP2A1/ADCY8/EDN3/CCL19/HAP1/SLC24A4/CCR5/ALPL/CCL5/PLCH2/F2/DHRS7C/ATP2C2/FASLG/GRIN1/SPPL2C/CALB2/CALCA/CALCB/MYH7B/SLC8A3/DRD2/WNK4/CNR1/CCL1/UMOD/SLC24A5/ATP2B3/RYR1/NPY/GP9/TNFSF11/METTL21C/HTR2C,119
GO:0035249,"synaptic transmission, glutamatergic",49/4355,108/17400,0.4537037037037037,1.8127312157162903,4.895199400001082,3.29329441522903e-6,2.0581426815173746e-4,1.642620319174841e-4,GRM4/CNIH2/NLGN1/CDK5/ATP1A2/SLC17A7/UNC13A/MAPK8IP2/RELN/GRM8/PRKN/GRIN2D/GRIN2B/NR3C1/SYT1/HTR2A/GRIK1/STXBP1/SHANK3/CACNG5/GRIA2/TNR/GRIA4/UNC13C/MEF2C/KCNJ8/NPY2R/SERPINE2/CACNG4/UCN/CLSTN3/HOMER3/DKK1/GRIN2C/KMO/GRM2/HCN1/CDH8/GRIK4/GRIA3/GRIN1/FRRS1L/ADORA2A/GRM7/GRIN3B/NRXN1/DRD2/SLC17A8/SLC17A6,49
GO:0003073,regulation of systemic arterial blood pressure,50/4355,111/17400,0.45045045045045046,1.7997331430167252,4.883777041532039,3.3926513649542346e-6,2.099033399497185e-4,1.6752555318947697e-4,CORO2B/KL/ADRA1A/ADRB2/MME/EDNRB/MANF/AVPR2/OXTR/ADM2/POSTN/TACR1/SPX/KCNK6/PCSK5/EDN2/PTPN1/NMU/GPR37L1/ARHGAP42/CMA1/NOX1/MAS1/RARRES2/AVPR1A/NTSR1/F2R/CORIN/IER3/TNNI3/ADRB3/CYP4F12/ADM/EDN1/HSD11B2/NAV2/EDN3/AGT/SUCNR1/KLK2/CTSG/CALCA/RASL10B/KLK3/P2RX2/ASIC2/AVPR1B/DRD2/AVP/ADRB1,50
GO:0000280,nuclear division,154/4355,446/17400,0.3452914798206278,1.3795801949205337,4.692119523084486,3.5942447728262468e-6,2.1794580366068096e-4,1.7394430851994493e-4,NEK2/TPX2/NUF2/KIF4A/CCNB1/UBE2C/CDK1/AURKA/PLK1/PTTG1/CDCA8/SKA1/SPC24/PKMYT1/SPC25/BUB1/CENPF/KIFC1/SPAG5/KIF2C/CKS2/NDC80/RAD51/CDC25C/ANLN/ZWINT/KIF11/KIF23/CCNB2/CDC20/SGO1/CENPE/MYBL2/UBE2S/KNL1/DLGAP5/KIF14/SKA3/NCAPG/NCAPH/TRIP13/ASPM/UHRF1/RACGAP1/KIF18B/BUB1B/AURKB/KIF18A/CAV2/TOP2A/KIF15/CDC14B/ESPL1/TTK/MAD2L1/CENPI/EME1/RAD51AP1/CDCA2/BIRC5/KIF22/RAD54B/MKI67/CCNE2/RAD54L/ZWILCH/TDRKH/CENPK/FBXO43/CCNE1/RMI1/DCAF13/CDKN1C/P3H4/BRIP1/HASPIN/CHEK1/REEP4/PSRC1/FANCD2/NCAPG2/FANCA/KNTC1/CDT1/ANKRD53/SMC4/CALR/GEN1/MYBL1/TUBG1/SPDL1/CENPX/USP44/MISP/IHO1/RAD21/TESMIN/KNSTRN/HORMAD1/BRCA2/HSF2BP/RCC1/CYP26B1/RGCC/MAPK15/KIF25/KAT2B/DUSP1/EPS8/MTBP/EME2/NPR2/CDC25B/FBXO5/RRS1/IGF1/SYCE3/CCDC8/ANAPC11/TEX19/TUBB8/SPIRE2/TTN/PRC1/NFIB/SYCP2/KIF4B/MAEL/TEX14/EDN1/HFM1/TEX11/MSX1/STRA8/EDN3/IGF2/DAZL/SMPD3/TERB2/CHMP4BP1/MND1/BRDT/DMRT1/FGF8/CCNA1/EGF/DMRTC2/CDC14C/EPGN/SPATA22/PTTG3P/SYCE1/MAJIN/ASZ1,154
GO:0099565,"chemical synaptic transmission, postsynaptic",53/4355,120/17400,0.44166666666666665,1.764638346727899,4.8563391652948225,3.6170485118065233e-6,2.1794580366068096e-4,1.7394430851994493e-4,NLGN1/CDK5/SNCA/SLC17A7/CHRNA6/ADRB2/MAPK8IP2/RELN/PRKN/GRIN2D/GRIN2B/INSYN2A/NPAS4/STX1A/MET/CHRNA9/P2RX6/P2RX5/SLC8A2/SHANK3/RGS4/BAIAP2/MEF2C/NTSR1/NPY2R/CHRNA2/DRD4/GRIN2C/NETO1/CHRNA5/SLC1A7/RIMS2/CHRNB4/CHRNA7/BEGAIN/ABAT/NLGN4X/CHRNA3/GRIN1/INSYN1/ADORA2A/P2RX2/SLC8A3/NRXN1/DRD2/HTR3A/HTR3C/WNT7A/CUX2/CHRNA4/CHRNB3/CHRND/CHRNG,53
GO:1901342,regulation of vasculature development,120/4355,332/17400,0.3614457831325301,1.444123220782095,4.720797671589033,3.628320313083908e-6,2.1794580366068096e-4,1.7394430851994493e-4,CCL11/NPR1/SPRY2/PPARG/KLF4/HSPB6/ANGPT4/TGFBR2/ANGPTL7/NAXE/CD36/HOXA5/LEP/CXCL10/CD34/E2F2/CAMP/MIR145/FGF1/CLDN5/PDE3B/SULF1/RAPGEF3/PRKD1/CREB3L1/RECK/RHOJ/ADM2/ISM1/CXCL12/TNMD/AQP1/DCN/ADAMTS1/CX3CL1/FGF2/HYAL1/PTPRM/CDH5/TEK/QKI/ECSCR/BMPER/RGCC/PAK4/CCBE1/EFNA3/CCL24/TERT/IL6/ADGRB2/LRG1/FBLN5/ADGRB3/BRCA1/PTPN6/EFNA1/EMILIN2/SASH1/MDK/SEMA6A/ADGRA2/CXCR4/PTGIS/CMA1/CXCR3/KLF2/NRP1/TIE1/STAT1/CLIC3/GATA4/ANGPTL4/SFRP1/ATP2B4/SEMA5A/ACVRL1/HSPB1/MIR221/NODAL/F3/ERBB2/TWIST1/PF4/SERPINF1/HMGA2/PROK1/ADM/TAFA5/PPP1R16B/ID1/CHRNA7/XBP1/ADAM12/ANXA3/ECM1/SFRP2/THBS2/MIR126/CX3CR1/MIR125B1/COL4A3/TNFRSF12A/CCR3/FASLG/MIR27B/SERPINE1/GREM1/KLK3/MIR205/CELA1/RLN2/GHSR/OPTC/CNMD/MIR222/CXCL13/YJEFN3/MIR101-1/MIR130A,120
GO:0098659,inorganic cation import across plasma membrane,57/4355,132/17400,0.4318181818181818,1.725289635737397,4.832942177160711,3.754058250213769e-6,2.212034132768818e-4,1.7654423310027858e-4,SLC24A2/HCN2/ATP1A2/KCNJ3/SLC12A8/SLC39A4/SLC39A11/KCNJ10/ABCC9/CACNA2D1/PRNP/ATP1A3/ANK2/SLC30A8/KCNJ2/KCNK9/SLC9A9/FXYD2/P2RX5/SLC8A2/CACNA1B/CACNA1H/KCNJ6/KCNH2/SLC39A6/SLC12A5/KCNJ8/KCNJ16/CACNA1E/TRPM1/ATP2B4/TRPM2/AKAP5/ATP1B2/CACNA1I/IFNG/HCN1/MS4A1/KCNK5/ASIC5/CACNA1D/SLC24A4/SLC34A1/KCNJ11/HCN4/SLC5A2/PCSK9/CNGA3/SLC8A3/KCNJ18/ATP4B/ATP1A4/SCNN1G/KCNJ4/LCN2/PPP3R2/SLC12A1,57
GO:0099587,inorganic ion import across plasma membrane,57/4355,132/17400,0.4318181818181818,1.725289635737397,4.832942177160711,3.754058250213769e-6,2.212034132768818e-4,1.7654423310027858e-4,SLC24A2/HCN2/ATP1A2/KCNJ3/SLC12A8/SLC39A4/SLC39A11/KCNJ10/ABCC9/CACNA2D1/PRNP/ATP1A3/ANK2/SLC30A8/KCNJ2/KCNK9/SLC9A9/FXYD2/P2RX5/SLC8A2/CACNA1B/CACNA1H/KCNJ6/KCNH2/SLC39A6/SLC12A5/KCNJ8/KCNJ16/CACNA1E/TRPM1/ATP2B4/TRPM2/AKAP5/ATP1B2/CACNA1I/IFNG/HCN1/MS4A1/KCNK5/ASIC5/CACNA1D/SLC24A4/SLC34A1/KCNJ11/HCN4/SLC5A2/PCSK9/CNGA3/SLC8A3/KCNJ18/ATP4B/ATP1A4/SCNN1G/KCNJ4/LCN2/PPP3R2/SLC12A1,57
GO:0045956,positive regulation of calcium ion-dependent exocytosis,14/4355,18/17400,0.7777777777777778,3.107539226942212,5.168877366819083,3.95552790451986e-6,2.3087595420060727e-4,1.8426396623736507e-4,CDK5/STX1A/SYT1/HYAL3/STXBP1/KCNB1/CACNA1B/SCAMP5/CDK5R2/SYT7/DOC2A/DOC2B/SYT4/SYT10,14
GO:0006941,striated muscle contraction,80/4355,203/17400,0.39408866995073893,1.5745448581269479,4.757510961918443,3.998622256894561e-6,2.3121005517202478e-4,1.8453061492466687e-4,CAV1/GSN/CCDC78/ATP1A2/SCN4A/DMD/SCN4B/TNNT1/ADRA1A/CA3/KCNJ3/PRKD1/SCN9A/SCN5A/SCN3A/SCN3B/TRDN/SYNM/ABCC9/TNNT3/CAV3/CACNA2D1/KCNE4/SCN2B/ANK2/RYR3/KCNJ2/CASQ2/SCN11A/JPH2/MYLK2/MB/MYH3/KCNE1/ADGRD1/REM1/KCNH2/SCN2A/CLIC2/NOS1/KCNJ8/JPH3/GSTM2/GATA4/MAP2K6/MYL3/BIN1/CTNNA3/TTN/UCN/TNNI3/HRC/JPH4/ASPH/KBTBD13/STAC3/KCNA5/MYL2/PLN/CACNA1D/ATP2A1/MYBPH/RGS2/NKX2-5/C10orf71/SCN7A/HCN4/MYH6/MYH7B/SLC8A3/TNNC2/KCNE5/ACTC1/ACTN3/STRIT1/RYR1/MYH8/CHRND/TNNI2/CHRNG,80
